split,n_participants,scale,severity_label,count,proportion
train,17004.0,,,,
train,,PHQ-9,minimal,11835.0,0.6960127028934369
train,,PHQ-9,mild,4254.0,0.25017642907551163
train,,PHQ-9,moderate,664.0,0.03904963537991061
train,,PHQ-9,moderately_severe,181.0,0.010644554222535874
train,,PHQ-9,severe,70.0,0.004116678428605034
train,,GAD-7,minimal,14106.0,0.8295695130557516
train,,GAD-7,mild,2509.0,0.14755351681957188
train,,GAD-7,moderate,248.0,0.014584803575629263
train,,GAD-7,severe,100.0,0.005880969183721477
train,,GAD-7,very_severe,41.0,0.0024111973653258055
train,,PSS,low,4644.0,0.2731122088920254
train,,PSS,moderate,10400.0,0.6116207951070336
train,,PSS,high,1887.0,0.11097388849682428
train,,PSS,very_high,73.0,0.004293107504116678
train,,ISI,no_clinically_significant,15498.0,0.9114326040931545
train,,ISI,subthreshold,1309.0,0.07698188661491413
train,,ISI,clinical_moderate,172.0,0.010115266996000941
train,,ISI,clinical_severe,25.0,0.0014702422959303693
val,3644.0,,,,
val,,PHQ-9,minimal,2544.0,0.6981339187705817
val,,PHQ-9,mild,894.0,0.24533479692645443
val,,PHQ-9,moderate,157.0,0.043084522502744235
val,,PHQ-9,moderately_severe,40.0,0.010976948408342482
val,,PHQ-9,severe,9.0,0.002469813391877058
val,,GAD-7,minimal,3052.0,0.8375411635565313
val,,GAD-7,mild,519.0,0.1424259055982437
val,,GAD-7,moderate,41.0,0.011251372118551043
val,,GAD-7,severe,27.0,0.007409440175631174
val,,GAD-7,very_severe,5.0,0.0013721185510428102
val,,PSS,low,1012.0,0.27771679473106475
val,,PSS,moderate,2215.0,0.6078485181119648
val,,PSS,high,401.0,0.11004390779363336
val,,PSS,very_high,16.0,0.0043907793633369925
val,,ISI,no_clinically_significant,3292.0,0.9034028540065862
val,,ISI,subthreshold,308.0,0.0845225027442371
val,,ISI,clinical_moderate,37.0,0.010153677277716796
val,,ISI,clinical_severe,7.0,0.0019209659714599342
test,3644.0,,,,
test,,PHQ-9,minimal,2507.0,0.687980241492865
test,,PHQ-9,mild,942.0,0.25850713501646544
test,,PHQ-9,moderate,136.0,0.03732162458836443
test,,PHQ-9,moderately_severe,41.0,0.011251372118551043
test,,PHQ-9,severe,18.0,0.004939626783754116
test,,GAD-7,minimal,3012.0,0.8265642151481888
test,,GAD-7,mild,548.0,0.150384193194292
test,,GAD-7,moderate,43.0,0.011800219538968168
test,,GAD-7,severe,30.0,0.00823271130625686
test,,GAD-7,very_severe,11.0,0.0030186608122941823
test,,PSS,low,951.0,0.26097694840834246
test,,PSS,moderate,2269.0,0.6226673984632273
test,,PSS,high,399.0,0.10949506037321624
test,,PSS,very_high,25.0,0.006860592755214051
test,,ISI,no_clinically_significant,3300.0,0.9055982436882547
test,,ISI,subthreshold,305.0,0.08369923161361141
test,,ISI,clinical_moderate,33.0,0.009055982436882546
test,,ISI,clinical_severe,6.0,0.001646542261251372
