variant,scale,high_risk_threshold_index,true_high_risk_n,flagged_n,tp,fp,tn,fn,high_risk_precision_ppv,high_risk_recall_sensitivity,specificity,false_positive_rate
Response-only,PHQ-9,2,195,293,189,104,3345,6,0.6450511945392492,0.9692307692307692,0.9698463322702232,0.030153667729776748
Response-only,GAD-7,2,84,92,82,10,3550,2,0.8913043478260869,0.9761904761904762,0.9971910112359551,0.0028089887640449437
Response-only,PSS,2,424,1430,395,1035,2185,29,0.2762237762237762,0.9316037735849056,0.6785714285714286,0.32142857142857145
Response-only,ISI,2,39,67,35,32,3573,4,0.5223880597014925,0.8974358974358975,0.991123439667129,0.008876560332871012
RT calibration-only,PHQ-9,2,195,293,189,104,3345,6,0.6450511945392492,0.9692307692307692,0.9698463322702232,0.030153667729776748
RT calibration-only,GAD-7,2,84,92,82,10,3550,2,0.8913043478260869,0.9761904761904762,0.9971910112359551,0.0028089887640449437
RT calibration-only,PSS,2,424,1430,395,1035,2185,29,0.2762237762237762,0.9316037735849056,0.6785714285714286,0.32142857142857145
RT calibration-only,ISI,2,39,67,35,32,3573,4,0.5223880597014925,0.8974358974358975,0.991123439667129,0.008876560332871012
RT score-adjusted,PHQ-9,2,195,283,186,97,3352,9,0.657243816254417,0.9538461538461539,0.9718759060597275,0.028124093940272543
RT score-adjusted,GAD-7,2,84,91,81,10,3550,3,0.8901098901098901,0.9642857142857143,0.9971910112359551,0.0028089887640449437
RT score-adjusted,PSS,2,424,1427,396,1031,2189,28,0.2775052557813595,0.9339622641509434,0.6798136645962732,0.3201863354037267
RT score-adjusted,ISI,2,39,65,35,30,3575,4,0.5384615384615384,0.8974358974358975,0.9916782246879334,0.008321775312066574
