check,scale,original_upper_bound,expanded_upper_bound,original_selected,expanded_selected,hit_original_upper_bound,validation_metric_original,validation_metric_expanded,test_ece_label_original,test_ece_label_expanded,test_brier_original,test_brier_expanded,test_nll_original,test_nll_expanded,interpretation
response_only_sigma,phq9,6.0,10.0,2.0,2.0,False,0.06804165164198502,0.06804165164198502,0.08201092832504703,0.08201092832504703,0.20206013139450968,0.20206013139450968,0.34358001227176516,0.34358001227176516,No qualitative change.
response_only_sigma,gad7,6.0,10.0,1.5,1.5,False,0.011524918180057821,0.011524918180057821,0.012805309561399423,0.012805309561399423,0.042893019739538775,0.042893019739538775,0.08296678539919042,0.08296678539919042,No qualitative change.
response_only_sigma,pss,6.0,10.0,6.0,10.0,True,0.25269599135872317,0.1423206986525769,0.25804690136626246,0.1510332184350635,0.7074247473915152,0.6423673581884832,2.60956556010969,1.3643577967096812,Expanded smoothing was selected for PSS; qualitative RT-specific conclusion unchanged.
response_only_sigma,isi,6.0,10.0,2.75,2.75,False,0.03619184847408489,0.03619184847408489,0.03879281820918508,0.03879281820918508,0.08864546888773309,0.08864546888773309,0.14672153344247188,0.14672153344247188,No qualitative change.
true_rt_calibration_sigma,phq9,6.0,10.0,1.75,1.75,False,0.06300207472770583,0.06300207472770583,0.08772654365095624,0.08772654365095624,0.203616311224803,0.203616311224803,0.34829964277696424,0.34829964277696424,No qualitative change.
true_rt_calibration_sigma,gad7,6.0,10.0,1.25,1.25,False,0.011680805510415964,0.011680805510415964,0.012401599446092043,0.012401599446092043,0.04217450939289284,0.04217450939289284,0.0838200678785014,0.0838200678785014,No qualitative change.
true_rt_calibration_sigma,pss,6.0,10.0,6.0,8.0,True,0.1930146156298031,0.10309028642736343,0.19804449294035448,0.10444836122095275,0.6672479866965721,0.626525374943676,1.7675287240901933,1.2900658595099392,Expanded smoothing was selected for PSS; qualitative RT-specific conclusion unchanged.
true_rt_calibration_sigma,isi,6.0,10.0,2.5,2.5,False,0.030190513254538295,0.030190513254538295,0.03371595026275019,0.03371595026275019,0.08892143727332,0.08892143727332,0.1493487025498645,0.1493487025498645,No qualitative change.
temperature_scaling_grid,phq9,5.0,10.0,1.0,1.0,False,0.30121491946078605,0.30121491946078605,0.0820109283239317,0.0820109283239317,0.20206013139449083,0.20206013139449083,0.3435800122730723,0.3435800122730723,No qualitative change.
temperature_scaling_grid,gad7,5.0,10.0,1.0,1.0,False,0.07025575991580175,0.07025575991580175,0.012805309563471812,0.012805309563471812,0.042893019739559404,0.042893019739559404,0.08296678540134339,0.08296678540134339,No qualitative change.
temperature_scaling_grid,pss,5.0,10.0,5.0,8.0,True,1.1764943579346059,1.1543360608600164,0.1726611367971996,0.22644269976283837,0.6402796902392441,0.6482364034536375,1.1801618727958527,1.157177763181952,Expanded temperature selected; generic calibration smoothing remains stronger than RT-specific interpretation.
temperature_scaling_grid,isi,5.0,10.0,1.25,1.25,False,0.1473030998030752,0.1473030998030752,0.05058296849110438,0.05058296849110438,0.0873668115859745,0.0873668115859745,0.1461440971446603,0.1461440971446603,No qualitative change.
