scale,severity_label,count,proportion
PHQ-9,minimal,16886,0.6951259673966738
PHQ-9,mild,6090,0.25069981887041
PHQ-9,moderate,957,0.039395685822493004
PHQ-9,moderately_severe,262,0.010785443767495472
PHQ-9,severe,97,0.003993084142927713
GAD-7,minimal,20170,0.8303145068335255
GAD-7,mild,3576,0.14720895768154124
GAD-7,moderate,332,0.01366705088094846
GAD-7,severe,157,0.006463033097315989
GAD-7,very_severe,57,0.002346451506668862
PSS,low,6607,0.27198254569405567
PSS,moderate,14884,0.6127120039519184
PSS,high,2687,0.11061254734068829
PSS,very_high,114,0.004692903013337724
ISI,no_clinically_significant,22090,0.9093528733739503
ISI,subthreshold,1922,0.07912069817223777
ISI,clinical_moderate,242,0.009962127449366047
ISI,clinical_severe,38,0.0015643010044459082
