overconfidence_quantile,threshold,model,selected_C,test_positive_n,pr_auc,roc_auc,recall_at_top10pct,precision_at_top10pct,high_risk_fn_capture_at_top10pct
0.7,0.8927905290978869,confidence_only,0.1,712,0.29711019285501933,0.892868047631243,0.6924157303370787,0.3381344307270233,0.0975609756097561
0.7,0.8927905290978869,rt_only,0.1,712,0.49901831911733247,0.8519813460777894,0.6587078651685393,0.3216735253772291,0.21951219512195122
0.7,0.8927905290978869,confidence_plus_rt,10.0,712,0.6142191864572494,0.9521002985664918,0.7696629213483146,0.37585733882030176,0.04878048780487805
0.7,0.8927905290978869,shuffled_rt_placebo,10.0,712,0.3678458192977384,0.9334465789661366,0.7443820224719101,0.3635116598079561,0.04878048780487805
0.75,0.921163571401076,confidence_only,10.0,579,0.5404628985018441,0.9523778411436056,0.8497409326424871,0.3374485596707819,0.04878048780487805
0.75,0.921163571401076,rt_only,10.0,579,0.5570144868226612,0.8862509768007283,0.770293609671848,0.3058984910836763,0.17073170731707318
0.75,0.921163571401076,confidence_plus_rt,1.0,579,0.7723590940309529,0.9576232903596539,0.8583765112262521,0.34087791495198905,0.04878048780487805
0.75,0.921163571401076,shuffled_rt_placebo,1.0,579,0.4911376182498139,0.9180282031814614,0.8497409326424871,0.3374485596707819,0.04878048780487805
0.8,0.9680339858226886,confidence_only,10.0,453,0.5512351396814655,0.9576320091582641,0.9403973509933775,0.29218106995884774,0.024390243902439025
0.8,0.9680339858226886,rt_only,10.0,453,0.5556396263823252,0.9361284857931398,0.8807947019867549,0.2736625514403292,0.0975609756097561
0.8,0.9680339858226886,confidence_plus_rt,10.0,453,0.8209087575993592,0.9863179361269226,0.9624724061810155,0.299039780521262,0.0
0.8,0.9680339858226886,shuffled_rt_placebo,10.0,453,0.4792967330958,0.960722563776246,0.9337748344370861,0.29012345679012347,0.024390243902439025
0.9,0.994779756581167,confidence_only,10.0,291,0.5804620518176947,0.9781109158550712,0.9725085910652921,0.19410150891632372,0.0
0.9,0.994779756581167,rt_only,1.0,291,0.41244082975777613,0.955644002131378,0.9381443298969072,0.18724279835390947,0.0975609756097561
0.9,0.994779756581167,confidence_plus_rt,0.1,291,0.7779085074992826,0.9861847731561837,0.9690721649484536,0.1934156378600823,0.0
0.9,0.994779756581167,shuffled_rt_placebo,0.1,291,0.4020374709175405,0.9793111992369378,0.9725085910652921,0.19410150891632372,0.0
