policy,budget,variant,split,n,avg_items_used,mean_macro_f1,mean_weighted_f1,mean_mae,mean_quadratic_weighted_kappa,mean_high_risk_recall,mean_false_negative_rate,mean_auroc,mean_pr_auc,mean_brier_score,mean_ece,n_repeats,mean_macro_f1_sd,mean_weighted_f1_sd,mean_mae_sd,mean_quadratic_weighted_kappa_sd,mean_high_risk_recall_sd,mean_false_negative_rate_sd,mean_auroc_sd,mean_pr_auc_sd,mean_brier_score_sd,mean_ece_sd
full_scale_scoring_upper_bound,37,oracle,test,3644,37,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
fixed_order,11,responses,test,3644,11,0.4948689609310945,0.8076779517973987,0.15367727771679474,0.44952546443089747,0.4732142857142857,0.5267857142857143,0.73606822014689,0.49386608482631306,0.25461451153847814,0.08914581499192739,,,,,,,,,,,
fixed_order,19,responses,test,3644,19,0.6620727300909625,0.7934815434352724,0.19367453347969263,0.573464200416288,0.5648584905660378,0.43514150943396224,0.8214984258388536,0.6885592216088852,0.27062181503051747,0.12393545637499591,,,,,,,,,,,
fixed_order,26,responses,test,3644,26,0.7487792376248341,0.9069094416572943,0.08884467618002195,0.6877788908114015,0.7317216981132075,0.26827830188679247,0.8618330370319356,0.7703738664429274,0.13303482360737884,0.03266593669165361,,,,,,,,,,,
short_forms,11,responses,test,3644,11,0.5954221409513606,0.8190214992627747,0.19504665203073546,0.7339054177970559,0.7348616006634874,0.2651383993365125,0.9145729202630042,0.5735108310964722,0.31819274609109094,0.08363808075634471,,,,,,,,,,,
short_forms,19,responses,test,3644,19,0.7514506580503744,0.8568664029931395,0.1509330406147091,0.8066763899987204,0.8372883405902274,0.1627116594097726,0.9444880798847313,0.7544183975728076,0.2304085740865328,0.06694200521343707,,,,,,,,,,,
short_forms,26,responses,test,3644,26,0.7726477417531156,0.883385752936765,0.1549807903402854,0.8172510229550332,0.9147466134494436,0.08525338655055636,0.9559354435825995,0.8034309276087949,0.20163940788567156,0.061663512448669966,,,,,,,,,,,
train_selected_fixed,11,responses,test,3644,11,0.6145293473120501,0.8117679951162751,0.1517563117453348,0.6123291870017471,0.5885531135531136,0.41144688644688643,0.8427689336440107,0.6155500396568119,0.24968915934249186,0.10345645920299257,,,,,,,,,,,
train_selected_fixed,19,responses,test,3644,19,0.7059796082708628,0.8459435282938446,0.19250823271130627,0.7825228267052956,0.9054314396295529,0.09456856037044717,0.9428698289705812,0.7308209544600079,0.24872602043026687,0.08157523848006124,,,,,,,,,,,
train_selected_fixed,26,responses,test,3644,26,0.7740077997359718,0.8915681320485254,0.15525521405049397,0.8315199473816487,0.960208030962748,0.039791969037252045,0.9465669659931903,0.7849052672127561,0.2182116327191524,0.08646251990880903,,,,,,,,,,,
random_repeated_mean,11,responses,test,3644,11,0.5778016329478465,0.8272732297617631,0.18267014270032927,0.7038164621354269,0.6590406472458359,0.3409593527541641,0.9092120305640641,0.5103093900662761,0.26916539540746875,0.058931173159895024,50.0,0.013362289923988467,0.002492791494095652,0.0028579847345090504,0.006914248258092115,0.02257339001277882,0.02257339001277881,0.004634507919499402,0.011868271835628727,0.003562684124614428,0.002514317689504742
random_repeated_mean,19,responses,test,3644,19,0.7165611724545236,0.88421930512424,0.11876509330406147,0.8137331326070586,0.7722783018867924,0.22772169811320758,0.9621660324432798,0.6942446267906708,0.1818310875586524,0.02468237456136487,50.0,0.013959544396654953,0.0023657897412610648,0.0026083380825141877,0.005177986482191212,0.01923356075042767,0.019233560750427675,0.0014065352292341707,0.01630264325200341,0.0026812182695267386,0.001751634683968069
random_repeated_mean,26,responses,test,3644,26,0.8134885737496852,0.9208147826155917,0.08027991218441274,0.8749033584525772,0.8312733689266707,0.1687266310733292,0.9812311156061837,0.8279863171628782,0.1259632687597532,0.022448501006487657,50.0,0.012123988784357782,0.0021793522660608013,0.0022114046572164156,0.004058621680057918,0.018400455168769696,0.018400455168769682,0.0008683713350375047,0.014493988626620862,0.002602415460541825,0.0017716963665962758
