mean_macro_f1,mean_weighted_f1,mean_mae,mean_quadratic_weighted_kappa,mean_high_risk_recall,mean_false_negative_rate,mean_auroc,mean_pr_auc,mean_brier_score,mean_ece,policy,budget,variant,split,n,avg_items_used,ablation
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.9393338792640005,0.6739849009902324,0.2602558418533242,0.09787441141549158,response_only_uncertainty,19,responses,test,3644.0,19.0,partial_responses_only
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.9395435617661323,0.6740438765561263,0.2495576180727857,0.07039868333439671,response_only_uncertainty,19,responses_constant_softening,test,3644.0,19.0,constant_softening_control
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.9393338792640005,0.6739849009902324,0.2602558418533242,0.09787441141549158,response_only_uncertainty,19,responses_coverage_only_calibration,test,3644.0,19.0,coverage_only_calibration_control
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.9386642800624103,0.6783460509257708,0.2537169175127433,0.09201041923920947,response_only_uncertainty,19,responses_uncertainty_only_calibration,test,3644.0,19.0,uncertainty_only_calibration_control
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.93911997394088,0.6791491758473247,0.2532195366605964,0.07777165082387313,response_only_uncertainty,19,responses_shuffled_rt_calibration,test,3644.0,19.0,shuffled_rt_calibration_placebo
0.19338015142042686,0.6618744394782262,0.27209110867178926,0.0,0.0,1.0,0.5910030054280003,0.25559386788629757,0.3871913858516897,0.08231771535904424,fixed_order,19,rt_only,test,3644.0,19.0,rt_only
0.6885556988052488,0.8599425985404633,0.18681394072447863,0.7938927516927521,0.9436152291105121,0.05638477088948787,0.941908859335232,0.6830694048190826,0.250490061146897,0.08276338260993306,response_only_uncertainty,19,responses_rt_calibration_only,test,3644.0,19.0,responses_plus_rt_calibration_only
0.6883276178945316,0.8612656702016387,0.18557903402854004,0.7949699357892179,0.941228661275831,0.0587713387241689,0.9397666650237035,0.6862804371188416,0.2602147197726841,0.0974987933380916,rt_aware_uncertainty,19,responses_rawrt,test,3644.0,19.0,partial_responses_plus_raw_rt
0.6885110235957327,0.8612690945918011,0.18557903402854004,0.7950471983011749,0.941228661275831,0.0587713387241689,0.9395621279841418,0.6803930849395611,0.26074395071470363,0.09121382925403465,rt_aware_uncertainty,19,responses_resid_content,test,3644.0,19.0,partial_responses_plus_content_rt_residual
0.6870256256689248,0.8612635962228398,0.18557903402854004,0.7949501177234672,0.941228661275831,0.0587713387241689,0.9394492460666901,0.677840632270756,0.2605412664847796,0.09091362932095493,rt_aware_uncertainty,19,responses_resid_conditioned,test,3644.0,19.0,partial_responses_plus_response_conditioned_rt_residual
0.6763809183530785,0.8616537672769774,0.18310922063666302,0.7950524990730752,0.9373825074296772,0.06261749257032273,0.9437803935755193,0.7059558414255065,0.24696782743187531,0.07931600646221065,rt_aware_uncertainty,19,responses_rt_state,test,3644.0,19.0,partial_responses_plus_rt_residual_and_online_state
,,,,,,,,,,analysis_only,37,not_used_for_prediction,,,,posthoc_full_gmm_not_used
