subgroup_variable,subgroup,n,mean_high_risk_n,mean_macro_f1,mean_mae,mean_high_risk_recall,mean_false_negative_rate,mean_brier_score,mean_ece,average_items_used
gender,female,2316,117.25,0.6387425057155885,0.17055267702936097,0.9307560580305051,0.06924394196949488,0.23517599099715766,0.07523944192267774,19
gender,male,1328,68.25,0.6683835916797694,0.20500753012048192,0.949673202614379,0.0503267973856209,0.26753250603338585,0.09331305086002067,19
edu_group,bachelor,3344,162.25,0.6697044022432355,0.18249102870813397,0.9278374213519763,0.07216257864802372,0.24530970502204885,0.07759420292775374,19
edu_group,other,190,16.0,0.7148141304516634,0.20263157894736838,1.0,0.0,0.29218588856375083,0.11569709611409523,19
edu_group,postgraduate,110,7.25,0.6573849790889839,0.16818181818181815,1.0,0.0,0.2192708249173616,0.08399578436388541,19
smoke_group,ever_or_current,249,21.5,0.7563489258217249,0.22489959839357432,0.9730691056910569,0.026930894308943104,0.2987008992687309,0.10222719840330534,19
smoke_group,never,3395,164.0,0.6513659969630785,0.1800441826215022,0.9293206161857974,0.07067938381420263,0.24317356089656544,0.07797885356510248,19
drink_group,ever_or_current,1169,83.0,0.6840247514381765,0.19461077844311378,0.9418847596105121,0.05811524038948787,0.26772987684314437,0.08731376348736831,19
drink_group,never,2475,102.5,0.6334904752135524,0.1776767676767677,0.938532404240766,0.06146759575923394,0.23716142914429006,0.0793705858104635,19
response_speed_group,fast,1203,44.0,0.6838820220557942,0.26122194513715713,0.9372171945701357,0.06278280542986425,0.3055238487107484,0.13886141848329744,19
response_speed_group,slow,1203,96.5,0.6684144356949018,0.16438071487946798,0.9527329850859263,0.04726701491407373,0.24786443320118232,0.07975914746560192,19
response_speed_group,typical,1238,45.0,0.7094570697646838,0.12540387722132473,0.9063279332351497,0.09367206676485026,0.18919600971058245,0.0528827062074726,19
